annotator_id,sector,question_category,question,answer,supporting_facts,additional_info,source_1_company,source_1_filing_type,source_1_filing_date,source_1_sec_url,source_1_pdf_filename,Rating (for reviewer),Explanation (for reviewer)
A02,Healthcare,A,,,,,UnitedHealth Group,10-K,2026-02-27,https://www.google.com/search?q=site%3Asec.gov+%22UnitedHealth+Group%22+10-K+2026,UnitedHealth_Group_10K_2026.pdf,,
A02,Healthcare,A,,,,,Teladoc Health,10-K,2026-02-27,https://www.google.com/search?q=site%3Asec.gov+%22Teladoc+Health%22+10-K+2026,Teladoc_Health_10K_2026.pdf,,
A02,Healthcare,A,,,,,Agilon Health,10-Q,2025-11-04,https://www.google.com/search?q=site%3Asec.gov+%22Agilon+Health%22+10-Q+2025,Agilon_Health_10Q_2025.pdf,,
A02,Healthcare,B,,,,,UnitedHealth Group,10-K,2026-02-27,https://www.google.com/search?q=site%3Asec.gov+%22UnitedHealth+Group%22+10-K+2026,UnitedHealth_Group_10K_2026.pdf,,
A02,Healthcare,B,,,,,Teladoc Health,10-K,2026-02-27,https://www.google.com/search?q=site%3Asec.gov+%22Teladoc+Health%22+10-K+2026,Teladoc_Health_10K_2026.pdf,,
A02,Healthcare,B,,,,,Agilon Health,10-Q,2025-11-04,https://www.google.com/search?q=site%3Asec.gov+%22Agilon+Health%22+10-Q+2025,Agilon_Health_10Q_2025.pdf,,
A02,Healthcare,C,,,,,UnitedHealth Group,10-K,2026-02-27,https://www.google.com/search?q=site%3Asec.gov+%22UnitedHealth+Group%22+10-K+2026,UnitedHealth_Group_10K_2026.pdf,,
A02,Healthcare,C,,,,,UnitedHealth Group,10-K,2026-02-27,https://www.google.com/search?q=site%3Asec.gov+%22UnitedHealth+Group%22+10-K+2026,UnitedHealth_Group_10K_2026.pdf,,
A02,Healthcare,C,,,,,UnitedHealth Group,10-K,2026-02-27,https://www.google.com/search?q=site%3Asec.gov+%22UnitedHealth+Group%22+10-K+2026,UnitedHealth_Group_10K_2026.pdf,,
A02,Healthcare,C,,,,,UnitedHealth Group,10-K,2026-02-27,https://www.google.com/search?q=site%3Asec.gov+%22UnitedHealth+Group%22+10-K+2026,UnitedHealth_Group_10K_2026.pdf,,
