annotator_id,sector,question_category,question,answer,supporting_facts,additional_info,sources,filing_type,filing_date,source_url,time_spent,Rating (for reviewer),Explanation (for reviewer)
,Financials,A,,,,,JPMorgan Chase,10-K,2026-02-18,https://www.google.com/search?q=site%3Asec.gov+%22JPMorgan+Chase%22+10-K+2026,,,
,Financials,A,,,,,SoFi Technologies,10-Q,2025-11-05,https://www.google.com/search?q=site%3Asec.gov+%22SoFi+Technologies%22+10-Q+2025,,,
,Financials,A,,,,,Charles Schwab,10-K,2026-02-25,https://www.google.com/search?q=site%3Asec.gov+%22Charles+Schwab%22+10-K+2026,,,
,Financials,B,,,,,JPMorgan Chase,10-K,2026-02-18,https://www.google.com/search?q=site%3Asec.gov+%22JPMorgan+Chase%22+10-K+2026,,,
,Financials,B,,,,,SoFi Technologies,10-Q,2025-11-05,https://www.google.com/search?q=site%3Asec.gov+%22SoFi+Technologies%22+10-Q+2025,,,
,Financials,B,,,,,Charles Schwab,10-K,2026-02-25,https://www.google.com/search?q=site%3Asec.gov+%22Charles+Schwab%22+10-K+2026,,,
,Financials,C,,,,,"JPMorgan Chase, SoFi Technologies, Charles Schwab","10-K, 10-Q, 10-K","2026-02-18, 2025-11-05, 2026-02-25",see above,,,
,Financials,C,,,,,"JPMorgan Chase, SoFi Technologies, Charles Schwab","10-K, 10-Q, 10-K","2026-02-18, 2025-11-05, 2026-02-25",see above,,,
,Financials,C,,,,,"JPMorgan Chase, SoFi Technologies, Charles Schwab","10-K, 10-Q, 10-K","2026-02-18, 2025-11-05, 2026-02-25",see above,,,
,Financials,C,,,,,"JPMorgan Chase, SoFi Technologies, Charles Schwab","10-K, 10-Q, 10-K","2026-02-18, 2025-11-05, 2026-02-25",see above,,,
